RAUM_CODE;ZUSATZBEZEICHNUNG;SITZPLAETZE;LOKATION;STANDORT;WOCHENTAG;TAG;ZEIT_VON;ZEIT_BIS
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;522;Math/Inf.;Garching;Samstag;3/5/2016 0:00;8:00;18:00
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;522;Math/Inf.;Garching;Donnerstag;3/10/2016 0:00;9:00;17:00
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Montag;2/29/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Dienstag;3/1/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Mittwoch;3/2/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Donnerstag;3/3/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Freitag;3/4/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Samstag;3/5/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Sonntag;3/6/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Montag;3/7/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Dienstag;3/8/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Mittwoch;3/9/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Donnerstag;3/10/2016 0:00;0:00;23:59
0503.EG.360;0360, Theodor-Fischer-Hörsaal;200;Stammgelände Zentral;München;Freitag;3/11/2016 0:00;0:00;23:59
