"","PRFG.NUMMER","TERMIN","startHours","endHours","startDate","endDate"
"20","EI0007","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"21","WZ1445","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"22","WZ3006","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"23","CH0632","2/8/2016",8.25,11,"2016-02-08 15:45:00","2016-02-08 18:30:00"
"24","MA9802","2/8/2016",0,2.75,"2016-02-08 07:30:00","2016-02-08 10:15:00"
"25","WZ1456","2/8/2016",5.5,8.25,"2016-02-08 13:00:00","2016-02-08 15:45:00"
"26","WZ2522","2/8/2016",5.5,8.25,"2016-02-08 13:00:00","2016-02-08 15:45:00"
"27","WZ5077","2/8/2016",0,2.75,"2016-02-08 07:30:00","2016-02-08 10:15:00"
"28","IN2062","2/8/2016",5.5,8.25,"2016-02-08 13:00:00","2016-02-08 15:45:00"
"29","MA9711","2/8/2016",0,2.75,"2016-02-08 07:30:00","2016-02-08 10:15:00"
"30","SP502100","2/8/2016",8.25,11,"2016-02-08 15:45:00","2016-02-08 18:30:00"
"31","SP200012","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"32","SP200002","2/8/2016",5.5,8.25,"2016-02-08 13:00:00","2016-02-08 15:45:00"
"33","MW0020","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"34","SG110310","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"35","WZ5078","2/8/2016",5.5,8.25,"2016-02-08 13:00:00","2016-02-08 15:45:00"
"36","WZ8101","2/8/2016",5.5,8.25,"2016-02-08 13:00:00","2016-02-08 15:45:00"
"37","SG502190","2/8/2016",0,2.75,"2016-02-08 07:30:00","2016-02-08 10:15:00"
"38","WZ5256","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"39","MW1902","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"40","MA2004","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"41","SP200080","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"42","MW2180","2/8/2016",2.75,5.5,"2016-02-08 10:15:00","2016-02-08 13:00:00"
"43","EI0611","2/8/2016",5.5,8.25,"2016-02-08 13:00:00","2016-02-08 15:45:00"
