"","PRFG.NUMMER","TERMIN","startHours","endHours","startDate","endDate"
"121","MW0376","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"122","SG120029","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"123","MW2205-2","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"124","WZ0096","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"125","WI000023","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"126","WZ4134","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"127","WZ4135","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"128","WZ4220","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"129","WZ5020","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"130","EI7381","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"131","EI0560","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"132","MW2020-2","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"133","EI0101","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"134","MW1609","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"135","SP502100","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"136","SG800013","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"137","BGU65007P2","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"138","SG110300","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"139","EI3171","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"140","MW0056","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"141","MW1393","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"142","WI000405","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"143","SG110090","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"144","SG800003","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"145","SG110180","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"146","WZ3103","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"147","CH0122","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"148","WZ0703","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"149","MW1902","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"150","EI0559","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"151","WZ2706","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"152","WI001056","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"153","PH0002","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"154","MA3402","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"155","MA0901","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"156","EI0622","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"157","CH61011","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"158","MW2029-1","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"159","BGU65007S2","7/18/2016",8.25,11,"2016-07-18 15:45:00","2016-07-18 18:30:00"
"160","WZ5134","7/18/2016",0,2.75,"2016-07-18 07:30:00","2016-07-18 10:15:00"
"161","EI5309","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"162","EI3183","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"163","LV0371","7/18/2016",2.75,5.5,"2016-07-18 10:15:00","2016-07-18 13:00:00"
"164","MW0013","7/18/2016",5.5,8.25,"2016-07-18 13:00:00","2016-07-18 15:45:00"
"165","MW1814","7/19/2016",24,26.75,"2016-07-19 07:30:00","2016-07-19 10:15:00"
