ID_RAUM;ZUSATZBEZEICHNUNG;WOCHENTAG;TAG;ZEIT_VON;ZEIT_BIS;BIS;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;19/07/16;12:30;13:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;19/07/16;13:00;14:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;19/07/16;14:30;15:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Freitag;16/09/16;8:00;18:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Montag;26/09/16;8:00;9:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;27/09/16;8:00;9:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;27/09/16;12:00;13:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Mittwoch;28/09/16;8:00;9:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Mittwoch;28/09/16;12:00;13:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Donnerstag;29/09/16;8:00;9:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Donnerstag;29/09/16;12:00;13:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Freitag;30/09/16;8:00;9:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Freitag;30/09/16;12:00;13:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;04/10/16;8:00;9:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;04/10/16;10:00;11:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;04/10/16;12:00;13:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Dienstag;04/10/16;14:00;15:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Mittwoch;05/10/16;8:00;9:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Mittwoch;05/10/16;10:00;11:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Mittwoch;05/10/16;12:00;13:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Mittwoch;05/10/16;14:00;15:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Donnerstag;06/10/16;10:00;11:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Donnerstag;06/10/16;12:00;13:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Donnerstag;06/10/16;14:00;15:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Freitag;07/10/16;8:00;9:30;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Freitag;07/10/16;10:00;11:00;;
5602.EG.001;00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal;Freitag;07/10/16;12:00;13:30;;
