"","PRFG.NUMMER","startHours","endHours","startDate","endDate"
"20","EI0007",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"21","WZ1445",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"22","WZ3006",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"23","CH0632",7,10.5,"2016-02-08 15:00:00","2016-02-08 18:30:00"
"24","MA9802",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"25","WZ1456",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"26","WZ2522",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"27","WZ5077",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"28","IN2062",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"29","MA9711",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"30","SP502100",7,10.5,"2016-02-08 15:00:00","2016-02-08 18:30:00"
"31","SP200012",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"32","SP200002",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"33","MW0020",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"34","SG110310",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"35","WZ5078",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"36","WZ8101",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"37","SG502190",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"38","WZ5256",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"39","MW1902",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"40","MA2004",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"41","SP200080",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"42","MW2180",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"43","EI0611",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"44","CH0648",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"45","SG120211",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"46","PH1001",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"47","PH9004",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"48","EI1289",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"49","PH9024",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"50","SG160036",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"51","SG800008",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"52","SG850001",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"53","SG110020",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"54","CH2108",0,3.5,"2016-02-08 08:00:00","2016-02-08 11:30:00"
"55","MW0798",7,10.5,"2016-02-08 15:00:00","2016-02-08 18:30:00"
"56","MW0040",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"57","PH9002",7,10.5,"2016-02-08 15:00:00","2016-02-08 18:30:00"
"58","WZ5088",3.5,7,"2016-02-08 11:30:00","2016-02-08 15:00:00"
"59","MW0036",7,10.5,"2016-02-08 15:00:00","2016-02-08 18:30:00"
"60","MW1980",24,27.5,"2016-02-09 08:00:00","2016-02-09 11:30:00"
"61","MW0633",24,27.5,"2016-02-09 08:00:00","2016-02-09 11:30:00"
"62","MW0047",24,27.5,"2016-02-09 08:00:00","2016-02-09 11:30:00"
"63","MW2104",24,27.5,"2016-02-09 08:00:00","2016-02-09 11:30:00"
"64","WI000219",24,27.5,"2016-02-09 08:00:00","2016-02-09 11:30:00"
"65","SG110320",24,27.5,"2016-02-09 08:00:00","2016-02-09 11:30:00"
"66","WI000218_1",24,27.5,"2016-02-09 08:00:00","2016-02-09 11:30:00"
