"","ID_RAUM","startTime","endTime","startDate","endDate"
"1","5602.EG.001",28.5,29,"2016-07-19 12:30:00","2016-07-19 13:00:00"
"2","5602.EG.001",29,30.5,"2016-07-19 13:00:00","2016-07-19 14:30:00"
"3","5602.EG.001",30.5,31,"2016-07-19 14:30:00","2016-07-19 15:00:00"
"4","5602.EG.001",1440,1450.5,"2016-09-16 08:00:00","2016-09-16 18:30:00"
"5","5602.EG.001",1680,1681.5,"2016-09-26 08:00:00","2016-09-26 09:30:00"
"6","5602.EG.001",1704,1705.5,"2016-09-27 08:00:00","2016-09-27 09:30:00"
"7","5602.EG.001",1708,1709.5,"2016-09-27 12:00:00","2016-09-27 13:30:00"
"8","5602.EG.001",1728,1729.5,"2016-09-28 08:00:00","2016-09-28 09:30:00"
"9","5602.EG.001",1732,1733.5,"2016-09-28 12:00:00","2016-09-28 13:30:00"
"10","5602.EG.001",1752,1753.5,"2016-09-29 08:00:00","2016-09-29 09:30:00"
"11","5602.EG.001",1756,1757.5,"2016-09-29 12:00:00","2016-09-29 13:30:00"
"12","5602.EG.001",1776,1777.5,"2016-09-30 08:00:00","2016-09-30 09:30:00"
"13","5602.EG.001",1780,1781.5,"2016-09-30 12:00:00","2016-09-30 13:30:00"
"14","5602.EG.001",1872,1873.5,"2016-10-04 08:00:00","2016-10-04 09:30:00"
"15","5602.EG.001",1874,1875,"2016-10-04 10:00:00","2016-10-04 11:00:00"
"16","5602.EG.001",1876,1877.5,"2016-10-04 12:00:00","2016-10-04 13:30:00"
"17","5602.EG.001",1878,1879,"2016-10-04 14:00:00","2016-10-04 15:00:00"
"18","5602.EG.001",1896,1897.5,"2016-10-05 08:00:00","2016-10-05 09:30:00"
"19","5602.EG.001",1898,1899,"2016-10-05 10:00:00","2016-10-05 11:00:00"
"20","5602.EG.001",1900,1901.5,"2016-10-05 12:00:00","2016-10-05 13:30:00"
"21","5602.EG.001",1902,1903,"2016-10-05 14:00:00","2016-10-05 15:00:00"
"22","5602.EG.001",1922,1923,"2016-10-06 10:00:00","2016-10-06 11:00:00"
"23","5602.EG.001",1924,1925.5,"2016-10-06 12:00:00","2016-10-06 13:30:00"
"24","5602.EG.001",1926,1927,"2016-10-06 14:00:00","2016-10-06 15:00:00"
"25","5602.EG.001",1944,1945.5,"2016-10-07 08:00:00","2016-10-07 09:30:00"
"26","5602.EG.001",1946,1947,"2016-10-07 10:00:00","2016-10-07 11:00:00"
