LV_NUMMER;LV_TITEL;LV_SEMESTER;DATUM;ANZ_TEILNEHMER
AR-11102-2;Tragwerkslehre I;15S;27/07/2015;1
AR-11102-2;Tragwerkslehre I;15W;12/02/2016;1
AR-11106-1;Bauaufnahme und Vermessung;15S;31/07/2015;1
AR-11106-1;Bauaufnahme und Vermessung;15W;16/02/2016;1
AR-11108-2;Kunstgeschichte;15S;03/08/2015;1
AR-11112-2;Landschaftsarchitektur;15S;31/07/2015;1
AR-11112-2;Landschaftsarchitektur;15W;19/02/2016;1
AR-11114-2;Gebäudelehre;15S;29/07/2015;2
AR-11114-2;Gebäudelehre;15W;02/02/2016;1
AR-13102-2;Baurealisierung II;15S;27/07/2015;1
AR-13102-2;Baurealisierung II;15W;17/02/2016;1
AR-13103-1;Geschichte der Architekturtheorie;15W;17/02/2016;1
AR-13105-1;Stadtbaugeschichte;15S;28/07/2015;2
AR-13105-1;Stadtbaugeschichte;15W;22/02/2016;2
AR-13106-2;Städtebau I;15S;16/07/2015;1
AR-14104;Entwurf I, Prof. Frenkler;15W;03/02/2016;1
AR-14126;Entwurf I, Prof. Wolf;15S;22/07/2015;1
AR-14201;Entwurf II, Prof. Deubzer;15S;28/07/2015;2
AR-14210;Entwurf II, Prof. Hild;15W;12/02/2016;1
AR-14237;Entwurf 2 - Prof. Auer;15W;27/01/2016;2
AR-14720;Vertiefungsentwurf, Prof. Michaeli (Entwerfen und Städtebau);15S;15/07/2015;1
AR-15002-2;Technische Durcharbeitung eines Entwurfs;15S;17/09/2015;3
AR-15002-2;Technische Durcharbeitung eines Entwurfs;15W;11/03/2016;2
AR-16110-1;Computational Design;15S;30/07/2015;1
AR-16110-1;Computational Design;15W;31/12/2015;2
AR-16111-1;Arbeitssicherheit;15W;26/02/2016;1
AR-16205-1;Denkmalpflege;15S;24/08/2015;1
AR-16210-2;Raumgestaltung;15S;28/07/2015;1
AR-16302-2;Ländliches Bau- und Siedlungswesen Prüfung (VT Städtebau);15S;26/06/2015;1
AR-17003-1;Angewandtes Bauordnungsrecht;15S;06/08/2015;31
AR-17003-1;Angewandtes Bauordnungsrecht;15W;25/02/2016;108
AR17006;Aquarellieren;15S;31/07/2015;48
AR17006;Aquarellieren;15W;18/02/2016;1
AR-17011-2;Bauen für Alte und Behinderte;15S;07/08/2015;49
AR-17011-2;Bauen für Alte und Behinderte;15W;03/03/2016;27
AR-17015-1;Privates Baurecht und Architektenrecht;15S;24/08/2015;17
AR-17015-1;Privates Baurecht und Architektenrecht;15W;01/02/2016;137
AR-17024-1;Denkmalpflege;15S;24/08/2015;6
AR-17024-1;Denkmalpflege;15S;24/08/2015;6
AR-17029-1;Figürliches Zeichnen;15S;30/07/2015;50
AR-17029-1;Figürliches Zeichnen;15W;18/02/2016;64
AR-17029-1;Figürliches Zeichnen;15W;26/02/2016;1
AR17041;Klimagerechtes Bauen II;15S;04/08/2015;4
AR17041;Klimagerechtes Bauen II;15S;04/08/2015;77
AR-17042-2;Historische Tragwerke;15S;30/07/2015;39
AR-17048-2;Instandsetzen historischer Baukonstruktionen;15S;27/07/2015;16
AR-17048-2;Instandsetzen historischer Baukonstruktionen;15S;27/07/2015;1
AR17052;Kommunalwesen;15W;18/02/2016;17
AR-17054-1;Konzeptioneller Brandschutz;15W;04/03/2016;30
AR-17062-1;Planungsrecht in der städtebaulichen Praxis;15W;25/02/2016;3
AR-17065-2;Raumgestaltung;15S;28/07/2015;2
AR-17065-2;Raumgestaltung;15W;11/02/2016;30
AR-17065-2;Raumgestaltung;15W;16/02/2016;1
AR-17069-2;Sakralbau;15W;12/02/2016;19
AR-17075-1;Sonderthemen des Holzbaus;15S;23/07/2015;2
AR-17081-2;Städtebau und Stadtentwicklung;15S;16/07/2015;1
AR-17081-2;Städtebau und Stadtentwicklung;15W;18/01/2016;1
AR-17082-1;Strategie und Umsetzung in der städtebaulichen Praxis;15W;22/02/2016;29
AR-17083-2;Szenografische Übung;15S;29/06/2015;10
AR-17083-2;Szenografische Übung;15W;21/12/2015;25
AR-17093-1;Krankenhausbau I;15S;06/08/2015;8
AR-17093-1;Krankenhausbau I;15W;11/02/2016;14
AR-17095-1;Stadtplanung und Stadtgestalt in der Praxis;15W;29/02/2016;27
AR-17101-1;Städtebau / Walkscapes;15S;27/07/2015;33
AR-17107-1;Bauen mit Membranen;15S;30/07/2015;25
AR-17110-1;Angewandte Darstellungstechnik;15S;30/07/2015;15
AR17125;Fragestellungen zu Wissenschaft und Gesellschaft in Architektur und Städtebau;15S;20/07/2015;5
AR17125;Fragestellungen zu Wissenschaft und Gesellschaft in Architektur und Städtebau;15W;15/01/2016;22
AR17128-1;Interkulturelle Kommunikation mit Anti-Bias Ansatz;15W;21/11/2015;36
AR17128-1;Interkulturelle Kommunikation mit Anti-Bias Ansatz;15W;11/03/2016;25
AR-18101;Kurzentwurf Detail, Prof. Deubzer;15S;27/05/2015;12
AR-18101;Kurzentwurf Detail, Prof. Deubzer;15W;16/11/2015;12
AR-18104;Kurzentwurf Detail, Prof. Frenkler;15S;20/04/2015;8
AR-18127;Kurzentwurf Detail, Prof. Wolf;15S;23/06/2015;8
AR-18127;Kurzentwurf Detail, Prof. Wolf;15W;19/01/2016;14
AR-18201;Kurzentwurf Entwerfen, Prof. Deubzer;15W;16/11/2015;1
AR-18203;Kurzentwurf Entwerfen, Prof. Fink;15S;04/05/2015;8
AR-18203;Kurzentwurf Entwerfen, Prof. Fink;15W;02/11/2015;10
AR-18208;Kurzentwurf Entwerfen, Prof. Kaufmann;15W;30/11/2015;3
AR-18231;Kurzentwurf Entwerfen, Prof. Nagler;15S;10/06/2015;4
AR-18233;Kurzentwurf Entwerfen, Visiting Professorship in Emerging Technologies;15S;27/04/2015;5
AR-18233;Kurzentwurf Entwerfen, Visiting Professorship in Emerging Technologies;15S;27/04/2015;7
AR-18317;Kurzentwurf Städtebau, Prof. Wolfrum;15S;29/05/2015;26
AR-18317;Kurzentwurf Städtebau, Prof. Wolfrum;15W;20/11/2015;3
AR-18320;Kurzentwurf Städtebau, Prof. Michaeli;15S;15/06/2015;14
AR-18320;Kurzentwurf Städtebau, Prof. Michaeli;15W;14/12/2015;9
AR-18325;Kurzentwurf Städtebau, Prof. Krucker / Prof. Bates;15S;11/05/2015;6
AR-18325;Kurzentwurf Städtebau, Prof. Krucker / Prof. Bates;15W;09/11/2015;2
AR20001;Projektarbeit 1;15W;02/02/2016;3
AR20001;Projektarbeit 1;15W;02/02/2016;180
AR20002;Konstruktion 1;15S;29/07/2015;25
AR20002;Konstruktion 1;15W;24/02/2016;214
AR20002-03;Entwurfsmethodik + Gebäudelehre;15S;29/07/2015;3
AR20002-03;Entwurfsmethodik + Gebäudelehre;15W;24/02/2016;4
AR20002-04;Baukonstruktion 1;15S;29/07/2015;3
AR20002-04;Baukonstruktion 1;15W;24/02/2016;2
AR20003;Statik + Festigkeitslehre;15S;27/07/2015;47
AR20003;Statik + Festigkeitslehre;15W;12/02/2016;204
AR20003-01;Statik + Festigkeitslehre;15S;27/07/2015;35
AR20003-01;Statik + Festigkeitslehre;15W;12/02/2016;30
AR20003-02;Übungen zur Statik;15S;27/07/2015;35
AR20003-02;Übungen zur Statik;15W;12/02/2016;30
AR20004-01;Darstellen;15S;16/06/2015;1
AR20004-01;Darstellen;15S;23/07/2015;10
